ID,Year,Country,Region,Artist,Song,Artist_gender,Group_Solo,Place,Points,Home_Away_Country,Home_Away_Region,Is_Final,Semi_Final_Number,Song_In_English,Song_Quality,Normalized_Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
626,2010,Finland,Scandinavia,Kuunkuiskaajat,Ty lki ell  ,NA,NA,11,49,Away,Home,0,1,0,2.561.886.991,0.042241379,0.82989378,1.840.322,0.04635168,0.457623696,115.076,0.092519822,9,0.078352736,4,0,-6.021,0.712324053,NA
627,2010,Georgia,Former Socialist Bloc,Sofia Nizharadze,Shine,NA,NA,3,106,Away,Away,0,2,1,5.314.424.616,0.096188748,0.409204012,18.131.546,0.724840628,0.33874879,135.578,0.037593579,2,0.166726347,4,1,-8.858,0.091065543,5.418.677.686
628,2010,Greece,Western Europe,Giorgos Alkaios and Friends,OPA      ,NA,NA,2,133,Away,Away,0,1,0,6.920.328.012,0.114655172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.875
629,2010,Iceland,Scandinavia,Hera Bj rk,Je ne sais quoi,NA,NA,3,123,Away,Home,0,1,1,6.405.012.532,0.106034483,0.890949072,18.395.383,0.015244777,0.527853379,131.977,0.074174543,3,0.124905212,4,0,-5.156,0.55499748,5.547.433.628
630,2010,Ireland,Independent,Niamh Kavanagh,It s for You,NA,NA,9,67,Away,Away,0,2,1,3.623.131.536,0.060798548,0.4855233,18.050.567,0.388512544,0.414338598,64.971,0.029282666,0,0.082279245,4,1,-6.174,0.145682544,5.312.892.562
631,2010,Israel,Independent,Harel Skaat,Milim        ,NA,NA,8,71,Away,Away,0,2,0,3.315.760.055,0.064428312,0.62040632,18.211.374,0.349944578,0.235287466,84.274,0.045254881,8,0.171209704,3,0,-6.198,0.254348913,4.918.235.294
632,2010,Latvia,Former Socialist Bloc,Aisha,What For ,NA,NA,17,11,Away,Away,0,1,1,0.677440093,0.009482759,0.636341636,17.956.526,0.11516644,0.633640465,77.948,0.035259618,5,0.143480837,4,0,-5.254,0.771890967,NA
633,2010,Lithuania,Former Socialist Bloc,InCulto,Eastern European Funk,NA,NA,12,44,Away,Away,0,2,1,2.281.599.969,0.039927405,0.714215983,16.039.138,0.043115373,0.86354166,133.922,0.048325266,9,0.100412187,4,1,-7.82,0.899073362,NA
634,2010,Macedonia,Former Yugoslavia,Gjoko Taneski Billy Zver and Pej in,Jas ja imam silata,NA,NA,15,37,Away,Away,0,1,0,1.833.326.674,0.031896552,0.951911847,18.241.261,0.081308432,0.490643618,102.09,0.075239785,4,0.313747267,4,0,-4.123,0.366479001,NA
635,2010,Malta,Western Europe,Thea Garrett,My Dream,NA,NA,12,45,Away,Away,0,1,1,2.816.609,0.038793103,0.641688909,17.999.669,0.002937458,0.552805295,138.007,0.027127884,6,0.393426409,4,1,-9.263,0.141670122,NA
636,2010,Moldova,Former Socialist Bloc,SunStroke Project and,Run Away,NA,NA,10,52,Away,Away,0,1,1,2.886.817.511,0.044827586,0.898348711,18.008.771,0.013098398,0.702074373,130.019,0.041315624,11,0.068042578,4,1,-5.834,0.781188206,5.469.824.561
637,2010,Netherlands,Western Europe,Sieneke,Ik ben verliefd  Sha-la-lie ,NA,NA,14,29,Away,Away,0,2,0,135.849.033,0.026315789,0.895331974,17.783.392,0.053752913,0.601451412,162.084,0.048848667,4,0.087184778,4,1,-4.268,0.834509972,NA
638,2010,Poland,Former Socialist Bloc,Marcin Mrozi ski,Legenda,NA,NA,13,44,Away,Away,0,1,1,2.640.989.241,0.037931034,0.693899574,17.549.016,0.09947275,0.256280921,83.949,0.065887466,4,0.062961057,3,1,-7.581,0.446194246,NA
639,2010,Portugal,Western Europe,Filipa Azevedo,H  dias assim,NA,NA,4,89,Away,Away,0,1,0,4.374.065.332,0.076724138,0.438155596,17.791.955,0.889419593,0.353357255,131.953,0.033877287,11,0.062834556,4,1,-7.42,0.163472903,5.043.214.286
640,2010,Romania,Former Socialist Bloc,Paula Seling and Ovi,Playing with Fire,NA,NA,4,104,Away,Away,0,2,1,5.981.437.787,0.094373866,0.81001099,18.289.741,0.002258675,0.641907994,122.042,0.041659425,4,0.040862722,4,0,-3.384,0.55774946,5.596.842.105
641,2010,Russia,Former Socialist Bloc,Peter Nalitch and Friends,Lost and Forgotten,NA,NA,7,74,Away,Away,0,1,1,3.781.039.915,0.062931034,0.500567491,17.324.363,0.106124954,0.566748456,97.652,0.026822315,9,0.097849466,3,0,-6.054,0.397708338,NA
642,2010,Serbia,Former Yugoslavia,Milan Stankovi ,Ovo je Balkan,NA,NA,5,79,Away,Away,0,1,0,3.866.495.557,0.068103448,0.738953821,19.113.896,0.412814268,0.667024428,211.354,0.093666484,10,0.903723442,4,1,-9.763,0.814591547,NA
643,2010,Slovakia,Former Socialist Bloc,Kristina,Horehronie,NA,NA,16,24,Away,Away,0,1,0,1.344.967.089,0.021551724,0.915058988,18.217.751,0.051289397,0.729048299,120.009,0.05898079,1,0.250638245,4,1,-5.413,0.826536622,NA
644,2010,Slovenia,Former Yugoslavia,Ansambel  lindra and Kalamari,Narodnozabavni rock,NA,NA,16,6,Away,Away,0,2,0,0.832667532,0.005444646,0.913209488,17.768.444,0.016455788,0.657474026,129.953,0.042574998,9,0.063621931,4,1,-3.223,0.687481711,NA
645,2010,Sweden,Scandinavia,Anna Bergendahl,This Is My Life,NA,NA,11,62,Away,Home,0,2,1,3.711.427.212,0.056261343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,2010,Switzerland,Western Europe,Michael von der Heide,Il pleut de l or,NA,NA,17,2,Away,Away,0,2,0,1.101.154.687,0.001814882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,2010,Turkey,Independent,maNga,We Could Be the Same,NA,NA,1,118,Away,Away,0,2,1,5.845.376.963,0.10707804,0.91100747,18.301.342,0.013881855,0.660554669,133.032,0.044042742,2,0.033175679,4,0,-4.891,0.565633631,5.599.666.667
648,2010,Ukraine,Former Socialist Bloc,Alyosha,Sweet People,NA,NA,7,77,Away,Away,0,2,1,3.785.185.508,0.069872958,0.413793239,18.032.281,0.606182519,0.661754928,119.954,0.03706418,0,0.176192386,4,1,-6.866,0.20853216,5.603.956.044
